Province/State,Country/Region,Lat,Long
Anhui,Mainland China,31.82571,117.2264
Beijing,Mainland China,40.18238,116.4142
Chongqing,Mainland China,30.05718,107.874
Fujian,Mainland China,26.07783,117.9895
Gansu,Mainland China,36.0611,103.8343
Guangdong,Mainland China,23.33841,113.422
Guangxi,Mainland China,23.82908,108.7881
Guizhou,Mainland China,26.81536,106.8748
Hainan,Mainland China,19.19673,109.7455
Hebei,Mainland China,38.0428,114.5149
Heilongjiang,Mainland China,47.862,127.7622
Henan,Mainland China,33.88202,113.614
Hubei,Mainland China,30.97564,112.2707
Hunan,Mainland China,27.61041,111.7088
Inner Mongolia,Mainland China,44.09448,113.9456
Jiangsu,Mainland China,32.97027,119.464
Jiangxi,Mainland China,27.61401,115.7221
Jilin,Mainland China,43.66657,126.1917
Liaoning,Mainland China,41.29284,122.6086
Ningxia,Mainland China,37.26923,106.1655
Qinghai,Mainland China,35.65945,96.02564
Shaanxi,Mainland China,35.19165,108.8701
Shandong,Mainland China,36.34377,118.1529
Shanghai,Mainland China,31.20327,121.4554
Shanxi,Mainland China,37.57769,112.2922
Sichuan,Mainland China,30.61714,102.7103
Tianjin,Mainland China,39.29362,117.333
Tibet,Mainland China,30.1534,88.7879
Xinjiang,Mainland China,41.11981,85.17822
Yunnan,Mainland China,24.97411,101.4868
Zhejiang,Mainland China,29.18251,120.0985
,Thailand,13.7563,100.5018
,Japan,35.6762,139.6503
,South Korea,37.5665,126.978
Taiwan,Taiwan,23.6978,120.9605
Washington,US,47.7511,-120.74
Illinois,US,40.6331,-89.3985
California,US,36.7783,-119.418
Arizona,US,34.0489,-111.094
Macau,Macau,22.1987,113.5439
Hong Kong,Hong Kong,22.3193,114.1694
,Singapore,1.3521,103.8198
,Vietnam,21.0278,105.8342
,France,46.2276,2.2137
,Nepal,28.3949,84.124
,Malaysia,4.2105,101.9758
Ontario,Canada,43.6532,-79.3832
British Columbia,Canada,49.2827,-123.121
New South Wales,Australia,-33.8688,151.2093
Victoria,Australia,-37.8136,144.9631
Queensland,Australia,-27.4698,153.0251
,Cambodia,12.5657,104.991
,Sri Lanka,7.8731,80.7718
Bavaria,Germany,51.1657,10.4515
,Finland,61.9241,25.7482
,United Arab Emirates,23.4241,53.8478
,Philippines,12.8797,121.774
,India,20.5937,78.9629
,Italy,41.8719,12.5674
,UK,55.3781,-3.436
,Russia,61.524,105.3188
,Sweden,60.1282,18.6435
,Spain,40.4637,-3.7492
South Australia,Australia,-34.9285,138.6007
"Boston, MA",US,42.3601,-71.0589
